Month,State,Coal_Quantity_MTon,Coal_Value_Lac,Petroleum_Quantity_MTon,Petroleum_Value_Lac,NaturalGas_Quantity_MTon,NaturalGas_Value_Lac
2020-06-30,Assam,4.53,352.84,1.17,422.59,7.83,1341.52
2020-06-30,Bihar,4.74,371.84,11.6,4275.05,2.17,362.86
2020-06-30,Chhattisgarh,5.44,429.54,9.31,3477.26,4.69,813.17
2020-06-30,Goa,5.15,401.49,7.37,2771.11,12.85,2208.17
2020-06-30,Gujarat,3.39,267.25,10.26,3863.92,11.63,1941.7
2020-06-30,Haryana,2.94,232.21,12.85,4898.29,12.87,2187.81
2020-06-30,Himachal Pradesh,2.98,232.01,6.13,2358.7,1.96,340.76
2020-06-30,Jharkhand,2.15,171.43,6.64,2546.48,10.08,1819.68
2020-06-30,Karnataka,5.47,440.33,11.15,4321.9,12.19,2255.03
2020-06-30,Kerala,3.87,306.95,1.29,504.34,7.04,1315.3
2020-06-30,Madhya Pradesh,5.4,428.65,6.19,2415.09,2.34,436.43
2020-06-30,Maharashtra,5.7,463.48,7.36,2882.75,9.01,1690.49
2020-06-30,Manipur,1.73,140.47,10.86,4264.52,6.76,1279.8
2020-06-30,Meghalaya,3.36,277.17,3.62,1424.93,1.35,262.11
2020-06-30,Mizoram,6.67,552.75,11.25,4423.88,9.72,1918.71
2020-06-30,Nagaland,5.28,431.93,1.93,770.87,1.8,349.11
2020-06-30,Odisha,6.3,509.72,4.96,2006.65,10.88,2088.37
2020-06-30,Punjab,6.58,543.51,0.91,367.73,13.95,2630.17
2020-06-30,Rajasthan,6.24,509.78,6.54,2651.19,11.51,2187.34
2020-06-30,Sikkim,5.66,465.21,3.4,1378.34,9.04,1763.85
2020-06-30,Tamil Nadu,2.75,228.84,11.74,4734.38,4.4,843.82
2020-06-30,Telangana,3.7,308.99,6.12,2444.7,7.46,1436.77
2020-06-30,Tripura,5.81,483.67,10.34,4149.37,2.18,412.89
2020-06-30,Uttar Pradesh,3.95,330.04,7.99,3184.35,6.7,1305.21
2020-06-30,Uttarakhand,5.46,452.04,2.0,799.97,12.82,2505.53
2020-06-30,West Bengal,5.34,447.23,1.41,572.22,2.36,464.85
2020-07-31,Andhra Pradesh,0.67,55.46,10.93,4400.9,8.13,1607.56
2020-07-31,Arunachal Pradesh,2.96,250.65,2.92,1178.0,2.08,412.29
2020-07-31,Assam,4.11,352.18,12.13,4950.74,9.44,1877.94
2020-07-31,Bihar,4.71,403.95,4.83,1979.68,7.36,1467.8
2020-07-31,Chhattisgarh,2.06,177.39,13.55,5597.26,14.7,2984.68
2020-07-31,Goa,0.54,46.39,10.49,4363.83,11.67,2395.47
2020-07-31,Gujarat,2.79,243.08,9.74,4102.92,10.41,2152.65
2020-07-31,Haryana,0.58,51.17,10.33,4405.07,2.96,610.76
2020-07-31,Himachal Pradesh,3.72,331.64,12.16,5234.38,8.86,1809.42
2020-07-31,Jharkhand,4.11,373.46,13.14,5643.96,13.46,2839.08
2020-07-31,Karnataka,3.74,346.95,10.01,4321.67,4.86,1026.29
2020-07-31,Kerala,5.46,509.15,1.56,678.78,10.47,2275.83
2020-07-31,Madhya Pradesh,0.82,76.09,7.1,3120.77,6.01,1319.04
2020-07-31,Maharashtra,6.88,640.84,13.44,5916.51,13.0,2912.29
2020-07-31,Manipur,6.95,639.76,4.16,1816.3,12.4,2774.73
2020-07-31,Meghalaya,3.17,291.93,10.43,4630.01,10.0,2223.85
2020-07-31,Mizoram,4.77,446.6,5.63,2487.92,10.89,2436.98
2020-07-31,Nagaland,6.79,646.29,13.06,5857.49,2.29,511.21
2020-07-31,Odisha,6.35,608.57,5.86,2655.31,14.16,3215.62
2020-07-31,Punjab,4.52,441.52,13.15,5991.14,11.06,2465.46
2020-07-31,Rajasthan,0.4,39.82,1.68,765.05,13.95,3130.15
2020-07-31,Sikkim,6.13,619.87,10.09,4576.01,14.01,3074.69
2020-07-31,Tamil Nadu,3.92,401.65,3.25,1476.59,5.08,1092.71
2020-07-31,Telangana,0.61,63.0,13.49,6092.89,13.36,2844.92
2020-07-31,Tripura,2.42,248.49,1.78,806.17,14.51,3020.85
2020-07-31,Uttar Pradesh,2.56,261.57,10.48,4712.87,6.13,1246.27
2020-07-31,Uttarakhand,4.06,417.75,0.92,410.45,12.04,2506.49
2020-07-31,West Bengal,6.57,682.19,5.34,2373.36,12.58,2688.57
2020-08-31,Andhra Pradesh,1.87,195.73,0.67,298.73,10.56,2269.73
2020-08-31,Arunachal Pradesh,5.83,610.75,7.38,3278.57,1.18,260.28
2020-08-31,Assam,3.21,336.26,6.3,2849.15,5.47,1192.42
2020-08-31,Bihar,3.01,319.99,3.76,1724.53,13.38,2905.54
2020-08-31,Chhattisgarh,5.64,602.19,5.75,2625.14,10.03,2234.38
2020-08-31,Goa,5.02,538.02,14.73,6806.78,9.32,2073.57
2020-08-31,Gujarat,4.81,516.97,11.77,5403.99,2.64,601.57
2020-08-31,Haryana,5.03,540.14,11.16,5138.79,3.65,837.89
2020-08-31,Himachal Pradesh,6.63,709.43,7.29,3406.03,12.32,2888.17
2020-08-31,Jharkhand,5.1,548.42,9.56,4459.42,4.91,1169.5
2020-08-31,Karnataka,3.12,338.08,9.09,4221.93,2.17,525.94
2020-08-31,Kerala,3.08,339.02,3.66,1714.83,2.77,661.02
2020-08-31,Madhya Pradesh,3.27,358.03,8.45,4012.15,5.75,1383.24
2020-08-31,Maharashtra,4.81,526.24,8.72,4179.06,9.11,2147.22
2020-08-31,Manipur,0.97,105.97,14.1,6733.37,5.79,1378.15
2020-08-31,Meghalaya,3.76,413.23,11.49,5485.33,12.67,2988.86
2020-08-31,Mizoram,1.34,149.11,14.84,7033.46,1.51,362.1
2020-08-31,Nagaland,1.57,175.49,6.45,3060.14,6.96,1714.51
2020-08-31,Odisha,1.54,171.12,2.71,1277.63,8.34,2029.1
2020-08-31,Punjab,4.49,507.46,3.58,1710.89,13.4,3314.76
2020-08-31,Rajasthan,5.29,596.43,10.96,5280.17,5.96,1452.12
2020-08-31,Sikkim,4.46,500.0,14.91,7125.37,1.84,449.74
2020-08-31,Tamil Nadu,3.69,411.64,11.99,5808.9,13.05,3161.27
2020-08-31,Telangana,6.29,711.43,8.7,4267.1,4.92,1194.5
2020-08-31,Tripura,3.28,372.0,7.43,3654.78,14.75,3642.41
2020-08-31,Uttar Pradesh,4.68,532.7,10.93,5380.86,6.3,1597.07
2020-08-31,Uttarakhand,6.01,690.16,1.04,508.58,3.44,858.32
2020-08-31,West Bengal,5.17,594.82,3.98,1963.44,6.12,1530.91
2020-09-30,Andhra Pradesh,1.42,163.48,1.31,649.32,13.0,3267.62
2020-09-30,Arunachal Pradesh,5.72,659.16,2.85,1423.52,11.09,2811.06
2020-09-30,Assam,4.75,547.28,5.06,2509.44,4.7,1197.43
2020-09-30,Bihar,6.69,776.02,11.04,5531.86,1.6,408.59
2020-09-30,Chhattisgarh,2.63,302.05,4.72,2402.74,8.58,2170.5
2020-09-30,Goa,6.45,746.28,14.43,7406.31,12.57,3248.94
2020-09-30,Gujarat,5.92,680.51,5.35,2762.8,3.54,926.61
2020-09-30,Haryana,3.74,429.91,9.05,4662.94,13.84,3589.45
2020-09-30,Himachal Pradesh,0.35,40.64,5.27,2754.48,6.25,1640.7
2020-09-30,Jharkhand,6.78,794.17,1.27,667.04,10.54,2716.07
2020-09-30,Karnataka,6.93,816.78,1.12,589.05,7.3,1918.46
2020-09-30,Kerala,5.95,702.11,12.44,6514.4,1.52,409.92
2020-09-30,Madhya Pradesh,3.09,361.54,10.63,5605.98,4.9,1346.63
2020-09-30,Maharashtra,3.51,408.27,0.79,422.78,8.24,2275.67
2020-09-30,Manipur,0.67,79.0,0.78,418.73,7.0,1942.45
2020-09-30,Meghalaya,3.6,421.65,4.67,2513.83,5.71,1597.57
2020-09-30,Mizoram,2.13,249.43,2.68,1434.9,14.69,4195.07
2020-09-30,Nagaland,4.73,559.18,2.34,1251.51,3.53,998.23
2020-09-30,Odisha,1.83,219.64,11.36,6079.33,3.62,1045.93
2020-09-30,Punjab,4.63,563.51,7.81,4163.66,5.78,1672.9
2020-09-30,Rajasthan,5.11,625.84,9.92,5298.6,5.72,1671.36
2020-09-30,Sikkim,6.16,752.36,3.22,1709.78,9.34,2687.08
2020-09-30,Tamil Nadu,4.04,499.64,3.3,1750.59,13.5,3974.75
2020-09-30,Telangana,4.42,553.03,2.73,1448.76,7.51,2248.4
2020-09-30,Tripura,0.38,47.29,8.62,4560.01,9.23,2794.46
2020-09-30,Uttar Pradesh,4.88,616.48,1.64,867.13,9.2,2796.26
2020-09-30,Uttarakhand,6.17,781.41,11.13,5940.39,13.61,4198.92
2020-09-30,West Bengal,3.42,436.27,14.4,7715.65,8.73,2699.42
2020-10-31,Andhra Pradesh,4.1,526.71,13.14,7066.78,3.4,1036.27
2020-10-31,Arunachal Pradesh,1.17,151.42,8.35,4512.02,9.0,2801.33
2020-10-31,Assam,3.68,477.35,11.33,6135.46,13.7,4250.21
2020-10-31,Bihar,6.66,857.78,5.53,3008.54,8.04,2547.22
2020-10-31,Chhattisgarh,5.65,735.86,7.8,4243.09,1.61,506.04
2020-10-31,Goa,6.55,845.54,12.02,6498.81,9.6,3020.16
2020-10-31,Gujarat,4.24,554.2,1.73,943.6,8.87,2805.73
2020-10-31,Haryana,0.75,98.38,14.31,7904.89,9.37,2923.08
2020-10-31,Himachal Pradesh,3.02,396.43,10.58,5839.87,12.79,4048.03
2020-10-31,Jharkhand,3.99,520.2,0.58,318.64,5.93,1871.59
2020-10-31,Karnataka,0.93,122.19,14.58,7985.95,2.3,735.62
2020-10-31,Kerala,5.6,737.06,4.99,2721.35,7.62,2479.21
2020-10-31,Madhya Pradesh,5.7,744.26,9.02,4970.28,8.5,2744.03
2020-10-31,Maharashtra,0.38,50.27,10.4,5770.2,1.51,481.9
2020-10-31,Manipur,5.73,760.7,13.57,7583.05,6.06,1912.95
2020-10-31,Meghalaya,4.09,549.88,9.9,5515.56,8.83,2767.93
2020-10-31,Mizoram,4.22,568.84,8.45,4772.6,11.27,3577.5
2020-10-31,Nagaland,1.62,219.18,5.36,3023.42,4.55,1439.49
2020-10-31,Odisha,3.9,533.29,12.47,7128.53,7.45,2370.4
2020-10-31,Punjab,5.17,715.65,13.22,7567.6,13.98,4470.82
2020-10-31,Rajasthan,5.21,714.98,3.46,1989.17,14.01,4540.98
2020-10-31,Sikkim,5.53,761.68,7.1,4123.66,7.92,2539.5
2020-10-31,Tamil Nadu,4.67,642.21,9.7,5602.68,7.35,2388.28
2020-10-31,Telangana,5.59,764.01,5.57,3209.31,7.87,2521.85
2020-10-31,Tripura,6.71,926.91,10.51,6062.61,13.94,4481.86
2020-10-31,Uttar Pradesh,2.2,302.99,7.28,4196.75,12.09,3930.44
2020-10-31,Uttarakhand,3.27,452.45,4.03,2349.43,3.26,1055.45
2020-10-31,West Bengal,5.29,734.44,2.82,1661.68,14.58,4788.59
2020-11-30,Andhra Pradesh,5.07,701.24,7.25,4306.38,6.79,2264.62
2020-11-30,Arunachal Pradesh,6.55,909.85,7.23,4331.13,3.12,1042.96
2020-11-30,Assam,0.3,41.97,4.21,2536.74,2.7,909.25
2020-11-30,Bihar,2.82,399.9,13.73,8339.27,10.61,3570.42
2020-11-30,Chhattisgarh,3.52,500.67,7.0,4250.8,7.53,2506.14
2020-11-30,Goa,0.81,114.37,6.72,4066.46,7.47,2489.55
2020-11-30,Gujarat,6.45,909.56,8.25,5054.56,7.87,2670.98
2020-11-30,Haryana,0.66,94.31,8.99,5552.52,2.22,759.32
2020-11-30,Himachal Pradesh,1.15,163.12,14.88,9192.29,13.65,4643.24
2020-11-30,Jharkhand,4.42,634.95,10.89,6700.13,13.97,4716.1
2020-11-30,Karnataka,1.2,173.81,6.18,3828.61,11.36,3797.22
2020-11-30,Kerala,6.44,945.62,3.23,2017.06,1.7,571.03
2020-11-30,Madhya Pradesh,4.57,672.36,12.49,7896.43,4.77,1610.04
2020-11-30,Maharashtra,3.86,572.08,7.93,5071.71,7.35,2474.5
2020-11-30,Manipur,1.25,187.44,7.64,4936.35,6.88,2290.3
2020-11-30,Meghalaya,2.12,319.15,2.21,1440.93,11.47,3831.08
2020-11-30,Mizoram,3.95,592.29,9.58,6243.07,2.34,795.06
2020-11-30,Nagaland,5.56,830.6,14.24,9263.64,13.14,4539.03
2020-11-30,Odisha,2.44,362.53,1.07,694.06,2.24,766.2
2020-11-30,Punjab,4.71,696.24,12.47,8099.12,8.43,2927.73
2020-11-30,Rajasthan,5.31,779.39,11.56,7539.4,4.18,1479.62
2020-11-30,Sikkim,2.91,430.76,5.95,3901.05,8.46,3033.59
2020-11-30,Tamil Nadu,2.05,301.06,14.33,9445.27,7.73,2809.22
2020-11-30,Telangana,4.23,616.86,1.43,948.44,10.43,3846.95
2020-11-30,Tripura,2.89,426.54,11.89,7966.03,2.3,842.17
2020-11-30,Uttar Pradesh,5.69,839.58,0.82,547.78,1.62,603.7
2020-11-30,Uttarakhand,3.16,472.47,6.99,4682.15,12.47,4648.22
2020-11-30,West Bengal,0.22,32.94,6.28,4207.56,3.54,1331.24
2020-12-31,Andhra Pradesh,5.16,780.45,8.53,5710.39,3.46,1322.36
2020-12-31,Arunachal Pradesh,5.02,768.47,8.46,5683.22,11.9,4525.51
2020-12-31,Assam,3.55,546.24,8.5,5766.09,3.43,1310.59
2020-12-31,Bihar,1.58,245.31,1.5,1016.3,10.27,3907.82
2020-12-31,Chhattisgarh,4.59,713.62,2.7,1832.16,13.6,5143.08
2020-12-31,Goa,5.59,872.09,3.83,2585.94,13.82,5200.03
2020-12-31,Gujarat,6.34,991.24,10.84,7322.22,11.45,4367.43
2020-12-31,Haryana,3.65,569.41,1.32,892.86,6.53,2507.49
2020-12-31,Himachal Pradesh,3.42,538.15,2.3,1546.88,10.14,3853.61
2020-12-31,Jharkhand,3.76,587.8,6.34,4279.17,9.1,3481.93
2020-12-31,Karnataka,0.56,87.38,5.94,4037.21,13.73,5212.04
2020-12-31,Kerala,6.61,1026.31,12.86,8719.46,9.22,3483.79
2020-12-31,Madhya Pradesh,1.78,276.79,3.68,2490.81,6.41,2459.07
2020-12-31,Maharashtra,2.38,368.93,2.84,1929.53,2.14,826.14
2020-12-31,Manipur,3.28,506.43,5.71,3924.94,3.65,1430.29
2020-12-31,Meghalaya,2.53,395.1,14.7,10168.67,12.31,4890.68
2020-12-31,Mizoram,2.07,324.94,2.86,1971.8,6.42,2564.66
2020-12-31,Nagaland,4.17,651.74,5.36,3726.27,8.63,3421.71
2020-12-31,Odisha,4.09,637.94,2.38,1655.97,7.1,2821.52
2020-12-31,Punjab,1.08,169.34,9.75,6853.43,11.29,4540.0
2020-12-31,Rajasthan,0.89,140.89,11.85,8293.79,13.02,5316.44
2020-12-31,Sikkim,2.08,332.75,10.85,7646.08,13.58,5506.67
2020-12-31,Tamil Nadu,2.74,437.0,7.01,4954.71,9.87,4002.78
2020-12-31,Telangana,5.84,941.32,10.84,7633.86,2.12,856.28
2020-12-31,Tripura,2.83,453.92,10.5,7473.79,8.45,3373.53
2020-12-31,Uttar Pradesh,2.26,366.8,6.68,4744.57,11.17,4465.12
2020-12-31,Uttarakhand,1.68,271.9,14.67,10430.82,5.56,2215.03
2020-12-31,West Bengal,0.24,39.19,6.2,4412.24,13.97,5624.1
2021-01-31,Andhra Pradesh,6.57,1069.06,11.39,8161.22,11.66,4729.01
2021-01-31,Arunachal Pradesh,2.83,464.28,1.78,1283.23,3.88,1566.93
2021-01-31,Assam,4.45,738.92,12.88,9367.82,8.23,3303.44
2021-01-31,Bihar,6.21,1027.18,3.4,2473.7,6.37,2548.73
2021-01-31,Chhattisgarh,3.95,659.38,5.98,4392.9,9.1,3688.95
2021-01-31,Goa,0.28,46.65,1.67,1237.59,8.81,3579.8
2021-01-31,Gujarat,3.3,551.45,5.68,4232.23,2.49,1003.29
2021-01-31,Haryana,2.75,458.53,14.59,10820.8,8.02,3204.88
2021-01-31,Himachal Pradesh,5.74,957.27,2.08,1535.89,5.74,2316.96
2021-01-31,Jharkhand,6.51,1097.15,7.29,5410.32,12.9,5181.12
2021-01-31,Karnataka,6.88,1164.86,5.36,4014.38,10.96,4432.31
2021-01-31,Kerala,3.93,672.15,13.61,10299.51,6.15,2484.28
2021-01-31,Madhya Pradesh,6.32,1081.58,5.59,4261.97,13.97,5732.29
2021-01-31,Maharashtra,2.33,399.91,6.94,5328.88,5.72,2325.06
2021-01-31,Manipur,5.45,929.01,5.52,4230.63,12.76,5219.92
2021-01-31,Meghalaya,2.47,420.6,10.13,7783.4,8.87,3603.35
2021-01-31,Mizoram,1.24,211.39,8.05,6228.85,11.2,4598.23
