Month,State,Coal_Production_TWh,Coal_Consumption_TWh,Petroleum_Production_TWh,Petroleum_Consumption_TWh,NaturalGas_Production_TWh,NaturalGas_Consumption_TWh
2020-03-31,Tamil Nadu,1.52,5.97,3.47,0.96,12.34,8.09
2020-03-31,Telangana,7.35,6.29,2.3,1.86,14.96,11.67
2020-03-31,Tripura,9.48,3.3,3.0,0.84,6.79,9.65
2020-03-31,Uttar Pradesh,5.93,1.83,4.24,2.61,6.81,6.41
2020-03-31,Uttarakhand,2.09,4.31,2.89,0.52,8.73,3.08
2020-03-31,West Bengal,1.49,9.31,1.42,3.73,7.99,11.05
2020-04-30,Andhra Pradesh,2.04,8.82,3.83,0.69,6.79,9.7
2020-04-30,Arunachal Pradesh,6.74,5.72,1.23,2.05,9.15,9.53
2020-04-30,Assam,8.66,4.68,0.76,4.64,9.56,5.76
2020-04-30,Bihar,5.17,9.9,4.51,2.98,2.44,6.3
2020-04-30,Chhattisgarh,7.24,2.74,2.51,3.88,11.03,2.56
2020-04-30,Goa,9.8,5.56,3.94,3.65,2.49,14.67
2020-04-30,Gujarat,4.45,9.0,4.27,2.57,11.85,14.48
2020-04-30,Haryana,1.74,5.34,2.33,3.27,5.15,5.84
2020-04-30,Himachal Pradesh,1.8,6.18,2.14,3.9,12.57,14.01
2020-04-30,Jharkhand,7.84,5.68,3.47,0.67,10.56,6.91
2020-04-30,Karnataka,5.6,1.83,3.47,1.57,4.39,12.07
2020-04-30,Kerala,6.04,3.0,2.13,2.89,6.62,12.25
2020-04-30,Madhya Pradesh,1.29,7.0,0.62,1.52,8.13,9.26
2020-04-30,Maharashtra,4.13,8.86,1.39,1.76,11.62,4.74
2020-04-30,Manipur,8.32,8.76,4.16,4.63,3.94,11.58
2020-04-30,Meghalaya,1.09,2.08,2.07,0.69,13.55,8.07
2020-04-30,Mizoram,2.98,5.85,2.47,4.29,3.74,7.32
2020-04-30,Nagaland,4.07,4.12,4.84,3.58,2.49,14.77
2020-04-30,Odisha,1.46,9.73,3.11,4.74,11.07,7.6
2020-04-30,Punjab,2.53,5.68,3.52,3.65,14.67,9.74
2020-04-30,Rajasthan,9.68,6.21,1.33,2.51,2.24,11.71
2020-04-30,Sikkim,5.57,8.83,2.1,2.22,6.27,14.83
2020-04-30,Tamil Nadu,2.6,8.63,3.12,2.61,12.16,10.52
2020-04-30,Telangana,6.51,9.58,0.84,4.16,13.82,12.68
2020-04-30,Tripura,7.43,5.62,3.16,3.98,5.36,9.12
2020-04-30,Uttar Pradesh,5.73,1.43,1.77,3.81,6.88,2.58
2020-04-30,Uttarakhand,5.9,2.1,2.46,2.69,14.49,5.78
2020-04-30,West Bengal,8.16,4.84,1.36,4.66,3.32,9.12
2020-05-31,Andhra Pradesh,9.58,8.25,1.78,2.81,9.97,9.96
2020-05-31,Arunachal Pradesh,2.82,2.87,0.86,4.89,5.82,13.0
2020-05-31,Assam,7.82,8.53,1.08,2.39,11.1,10.27
2020-05-31,Bihar,2.7,2.99,2.76,4.45,4.32,2.32
2020-05-31,Chhattisgarh,5.28,6.89,0.63,4.28,2.62,14.17
2020-05-31,Goa,9.03,9.35,2.02,1.3,13.71,5.85
2020-05-31,Gujarat,4.01,3.75,4.33,3.66,9.66,14.19
2020-05-31,Haryana,7.1,2.95,2.91,0.54,4.16,11.53
2020-05-31,Himachal Pradesh,2.78,2.49,1.83,2.52,6.61,13.86
2020-05-31,Jharkhand,7.7,5.02,2.81,0.81,8.3,4.61
2020-05-31,Karnataka,5.16,5.01,3.41,4.48,11.23,12.33
2020-05-31,Kerala,6.0,1.28,4.11,4.97,4.74,2.59
2020-05-31,Madhya Pradesh,7.65,2.28,3.57,2.87,3.03,4.43
2020-05-31,Maharashtra,4.89,6.31,1.44,2.83,4.7,14.12
2020-05-31,Manipur,3.23,3.92,3.94,2.01,10.65,2.78
2020-05-31,Meghalaya,6.89,3.81,3.61,3.56,9.39,10.42
2020-05-31,Mizoram,8.59,4.63,3.91,2.52,14.2,7.53
2020-05-31,Nagaland,8.6,2.61,4.38,4.48,4.72,6.88
2020-05-31,Odisha,6.7,9.83,3.87,0.98,11.17,5.75
2020-05-31,Punjab,8.8,7.96,2.96,1.3,9.98,5.76
2020-05-31,Rajasthan,6.08,3.68,3.7,3.13,3.83,14.19
2020-05-31,Sikkim,5.29,8.88,1.36,2.69,12.0,6.69
2020-05-31,Tamil Nadu,4.77,8.67,1.27,3.43,5.59,9.45
2020-05-31,Telangana,1.83,2.95,4.54,4.12,13.89,11.2
2020-05-31,Tripura,5.67,5.0,4.79,0.79,14.22,8.39
2020-05-31,Uttar Pradesh,4.37,7.31,2.58,4.94,7.17,8.32
2020-05-31,Uttarakhand,8.82,3.33,4.79,1.2,7.73,8.8
2020-05-31,West Bengal,2.34,9.04,2.19,1.63,6.91,12.08
2020-06-30,Andhra Pradesh,1.65,3.87,3.08,4.33,14.2,3.8
2020-06-30,Arunachal Pradesh,6.64,5.88,3.33,3.03,3.71,5.56
2020-06-30,Assam,8.9,1.14,4.48,1.01,12.08,6.23
2020-06-30,Bihar,4.62,2.33,2.96,2.71,11.04,6.65
2020-06-30,Chhattisgarh,2.61,1.85,3.25,2.24,4.24,6.1
2020-06-30,Goa,8.14,4.41,3.17,4.49,6.91,8.16
2020-06-30,Gujarat,3.14,2.56,3.68,1.77,2.29,13.97
2020-06-30,Haryana,6.13,4.48,4.44,0.93,9.05,5.1
2020-06-30,Himachal Pradesh,7.18,6.94,2.52,0.87,7.51,7.09
2020-06-30,Jharkhand,7.98,9.25,3.79,2.9,2.17,8.37
2020-06-30,Karnataka,2.98,2.97,0.56,2.91,8.38,12.38
2020-06-30,Kerala,6.67,1.35,1.7,3.96,13.97,6.57
2020-06-30,Madhya Pradesh,7.83,5.32,1.24,1.92,4.15,7.77
2020-06-30,Maharashtra,1.78,6.39,4.86,3.85,13.6,10.02
2020-06-30,Manipur,2.54,5.15,3.28,1.77,9.42,5.64
2020-06-30,Meghalaya,7.71,8.16,1.59,3.86,13.85,4.08
2020-06-30,Mizoram,8.86,5.51,3.38,4.51,5.18,13.19
2020-06-30,Nagaland,7.18,8.56,1.88,2.45,12.67,10.24
2020-06-30,Odisha,5.05,3.89,4.57,4.17,8.32,7.91
2020-06-30,Punjab,6.06,2.05,0.53,4.45,12.86,6.91
2020-06-30,Rajasthan,2.38,2.8,2.95,3.25,12.53,4.24
2020-06-30,Sikkim,9.92,2.16,3.29,1.79,11.14,6.9
2020-06-30,Tamil Nadu,8.29,8.22,1.08,3.39,6.25,4.63
2020-06-30,Telangana,9.03,9.04,4.72,1.53,11.35,10.46
2020-06-30,Tripura,6.27,6.34,1.02,2.7,8.16,7.33
2020-06-30,Uttar Pradesh,9.95,7.45,2.09,1.52,10.27,12.94
2020-06-30,Uttarakhand,6.75,1.25,1.39,3.06,7.87,6.44
2020-06-30,West Bengal,4.38,1.3,4.66,0.74,13.88,10.17
2020-07-31,Andhra Pradesh,7.57,8.56,4.06,3.14,10.31,11.84
2020-07-31,Arunachal Pradesh,5.51,9.69,1.5,2.15,9.76,8.61
2020-07-31,Assam,5.78,4.7,4.47,2.93,7.07,9.64
2020-07-31,Bihar,6.79,8.84,2.66,1.11,9.01,3.9
2020-07-31,Chhattisgarh,6.43,8.98,2.22,2.42,8.61,2.65
2020-07-31,Goa,9.33,4.44,4.64,1.63,9.83,10.06
2020-07-31,Gujarat,4.41,2.16,1.92,1.48,4.95,2.52
2020-07-31,Haryana,7.14,5.2,4.09,2.92,13.86,2.77
2020-07-31,Himachal Pradesh,1.65,5.84,1.26,3.79,2.11,5.34
2020-07-31,Jharkhand,1.42,6.66,2.27,2.09,11.16,4.11
2020-07-31,Karnataka,9.26,9.52,1.23,0.88,8.16,11.05
2020-07-31,Kerala,4.27,4.15,1.45,2.15,6.79,2.27
2020-07-31,Madhya Pradesh,3.99,3.37,4.83,3.89,6.97,14.65
2020-07-31,Maharashtra,9.16,6.53,1.97,3.46,12.72,14.86
2020-07-31,Manipur,3.63,9.96,4.27,1.91,3.75,8.92
2020-07-31,Meghalaya,8.64,4.9,1.51,1.94,13.01,4.19
2020-07-31,Mizoram,9.48,3.81,0.91,1.13,14.44,14.52
2020-07-31,Nagaland,6.63,3.37,2.33,3.95,14.11,14.69
2020-07-31,Odisha,9.13,9.6,3.17,1.55,8.5,7.23
2020-07-31,Punjab,6.55,5.48,1.94,3.24,11.08,11.86
2020-07-31,Rajasthan,3.09,8.07,3.44,3.53,6.06,5.31
2020-07-31,Sikkim,3.16,3.24,4.54,3.8,8.37,5.44
2020-07-31,Tamil Nadu,6.56,6.57,1.52,4.01,8.81,2.61
2020-07-31,Telangana,7.41,5.66,2.72,4.07,3.07,5.88
2020-07-31,Tripura,2.82,1.07,2.25,2.01,14.2,3.6
2020-07-31,Uttar Pradesh,4.97,4.07,2.21,4.3,8.06,13.2
2020-07-31,Uttarakhand,8.29,2.12,0.67,3.86,4.0,14.27
2020-07-31,West Bengal,2.94,8.26,1.4,1.87,14.95,8.04
2020-08-31,Andhra Pradesh,5.93,3.44,4.51,3.35,12.04,9.71
2020-08-31,Arunachal Pradesh,9.58,5.26,1.77,1.42,11.14,8.92
2020-08-31,Assam,8.19,9.35,3.31,0.97,13.29,3.52
2020-08-31,Bihar,3.08,3.58,1.49,0.9,10.03,5.13
2020-08-31,Chhattisgarh,3.02,4.96,1.7,2.35,3.83,2.14
2020-08-31,Goa,6.46,4.14,4.57,2.52,11.07,14.51
2020-08-31,Gujarat,3.28,7.25,4.27,2.13,9.3,13.52
2020-08-31,Haryana,9.37,1.04,0.7,1.07,7.79,14.05
2020-08-31,Himachal Pradesh,2.57,7.24,1.2,1.18,13.59,5.67
2020-08-31,Jharkhand,6.6,9.79,2.03,3.44,5.82,10.49
2020-08-31,Karnataka,2.05,2.74,2.7,2.44,9.82,2.15
2020-08-31,Kerala,6.01,1.49,4.31,1.5,3.42,14.62
2020-08-31,Madhya Pradesh,3.68,6.22,4.6,4.21,10.22,14.04
2020-08-31,Maharashtra,6.69,2.17,3.98,4.04,7.5,14.1
2020-08-31,Manipur,8.64,3.67,2.68,3.85,6.11,12.77
2020-08-31,Meghalaya,5.99,8.56,3.6,0.67,5.49,13.32
2020-08-31,Mizoram,9.04,1.33,2.21,4.88,14.99,10.58
2020-08-31,Nagaland,2.5,5.87,4.84,2.48,5.48,2.85
2020-08-31,Odisha,8.2,5.28,2.29,2.76,8.92,11.4
2020-08-31,Punjab,6.42,6.31,3.01,1.0,5.1,9.61
2020-08-31,Rajasthan,9.87,7.45,3.31,3.1,8.17,3.12
2020-08-31,Sikkim,5.07,6.48,2.81,4.31,5.3,4.1
2020-08-31,Tamil Nadu,1.35,2.13,3.72,2.77,6.22,6.81
2020-08-31,Telangana,4.07,1.79,4.22,3.5,8.16,2.74
2020-08-31,Tripura,7.28,7.89,2.71,1.24,7.37,13.7
2020-08-31,Uttar Pradesh,6.21,8.95,1.13,4.09,7.29,5.6
2020-08-31,Uttarakhand,8.03,2.43,2.97,4.46,5.88,6.74
2020-08-31,West Bengal,4.0,4.88,2.82,4.26,12.73,2.04
2020-09-30,Andhra Pradesh,5.4,9.99,1.06,4.97,4.29,5.67
2020-09-30,Arunachal Pradesh,9.49,8.84,4.09,2.09,3.14,9.83
2020-09-30,Assam,8.18,9.44,0.61,0.68,4.02,3.24
2020-09-30,Bihar,8.65,6.27,3.27,3.59,8.24,3.24
2020-09-30,Chhattisgarh,8.76,1.87,2.36,1.06,10.05,2.86
2020-09-30,Goa,7.18,1.36,2.1,0.64,12.2,4.91
2020-09-30,Gujarat,8.39,7.91,4.92,2.94,14.4,2.11
2020-09-30,Haryana,7.37,5.99,4.73,3.39,10.4,3.18
2020-09-30,Himachal Pradesh,8.72,7.78,3.17,1.65,12.47,5.88
2020-09-30,Jharkhand,9.32,3.58,3.02,4.28,14.56,12.97
2020-09-30,Karnataka,8.91,7.79,3.56,0.64,3.6,10.1
2020-09-30,Kerala,2.54,5.61,1.64,1.19,10.08,12.66
2020-09-30,Madhya Pradesh,2.87,9.62,3.63,3.93,13.84,3.58
2020-09-30,Maharashtra,6.03,5.22,1.62,3.03,3.31,6.66
2020-09-30,Manipur,7.14,6.25,1.83,4.54,9.44,14.66
2020-09-30,Meghalaya,8.38,1.56,2.45,0.58,14.59,4.19
2020-09-30,Mizoram,3.24,9.72,0.59,0.79,9.7,10.68
2020-09-30,Nagaland,7.02,4.65,2.71,2.34,5.77,9.43
2020-09-30,Odisha,9.29,6.42,2.32,4.31,7.62,14.0
2020-09-30,Punjab,4.73,8.62,4.01,1.62,7.02,11.03
2020-09-30,Rajasthan,5.82,3.6,0.96,3.56,4.14,12.62
2020-09-30,Sikkim,9.14,9.79,4.81,1.08,3.99,14.93
2020-09-30,Tamil Nadu,2.9,3.67,0.76,3.04,12.37,13.51
2020-09-30,Telangana,9.76,7.98,1.44,4.12,3.6,11.8
2020-09-30,Tripura,2.39,3.71,2.74,0.88,2.43,13.11
2020-09-30,Uttar Pradesh,9.02,4.44,0.56,2.94,13.48,11.96
2020-09-30,Uttarakhand,5.81,9.83,4.95,3.15,5.72,13.4
2020-09-30,West Bengal,5.16,4.48,0.6,4.14,3.75,11.13
2020-10-31,Andhra Pradesh,2.04,9.41,4.76,1.07,12.74,5.8
2020-10-31,Arunachal Pradesh,7.96,9.2,2.18,2.48,2.82,7.79
2020-10-31,Assam,1.64,4.35,0.71,3.01,8.83,12.21
2020-10-31,Bihar,3.06,5.12,3.35,1.75,6.31,8.37
2020-10-31,Chhattisgarh,1.72,6.76,1.15,2.42,2.94,4.0
2020-10-31,Goa,6.49,4.38,3.49,3.78,13.46,10.03
2020-10-31,Gujarat,6.31,9.99,2.22,1.87,4.55,5.29
2020-10-31,Haryana,9.28,1.67,4.39,3.8,4.91,5.27
2020-10-31,Himachal Pradesh,9.03,6.87,3.8,4.26,3.11,14.96
2020-10-31,Jharkhand,7.17,7.82,2.92,4.67,10.71,3.01
2020-10-31,Karnataka,4.87,6.2,1.75,1.37,13.82,13.64
2020-10-31,Kerala,9.12,6.4,1.28,3.88,9.13,8.3
2020-10-31,Madhya Pradesh,9.63,6.33,1.18,3.4,3.19,3.36
2020-10-31,Maharashtra,3.01,8.28,0.69,4.07,12.64,3.65
2020-10-31,Manipur,5.73,5.68,3.7,1.88,9.18,6.76
2020-10-31,Meghalaya,3.2,7.59,3.5,1.18,8.33,9.77
2020-10-31,Mizoram,9.07,9.92,1.86,1.35,6.52,4.09
2020-10-31,Nagaland,4.62,5.86,3.29,4.91,5.78,6.76
2020-10-31,Odisha,6.55,5.25,3.99,2.26,7.73,14.92
2020-10-31,Punjab,1.38,9.71,0.78,4.35,12.84,2.08
2020-10-31,Rajasthan,6.95,4.68,3.79,1.32,12.48,2.81
2020-10-31,Sikkim,2.88,1.04,1.38,2.63,14.78,7.55
2020-10-31,Tamil Nadu,9.83,5.48,3.78,4.87,3.3,4.55
2020-10-31,Telangana,9.87,8.37,2.33,4.19,8.84,2.63
2020-10-31,Tripura,4.88,6.35,1.71,4.09,9.03,2.09
2020-10-31,Uttar Pradesh,3.28,3.57,0.71,1.75,13.05,13.63
2020-10-31,Uttarakhand,6.16,6.37,4.76,4.65,14.09,6.19
2020-10-31,West Bengal,5.19,1.5,4.39,3.08,2.38,4.76
2020-11-30,Andhra Pradesh,3.15,5.1,2.51,2.22,11.02,8.67
2020-11-30,Arunachal Pradesh,7.2,9.61,0.83,1.58,4.36,11.86
2020-11-30,Assam,1.6,4.37,3.53,3.57,6.44,2.1
2020-11-30,Bihar,3.68,7.83,1.17,4.32,9.42,8.63
2020-11-30,Chhattisgarh,4.79,2.3,1.64,0.74,4.96,14.42
2020-11-30,Goa,7.86,1.28,3.08,2.44,14.66,13.24
2020-11-30,Gujarat,1.43,5.23,4.22,1.41,14.96,11.24
2020-11-30,Haryana,7.71,6.26,2.41,1.66,10.75,5.87
2020-11-30,Himachal Pradesh,4.04,1.07,0.58,1.3,2.17,12.94
2020-11-30,Jharkhand,3.51,5.05,2.08,0.96,4.93,9.59
2020-11-30,Karnataka,6.39,7.81,3.06,1.84,4.03,2.14
2020-11-30,Kerala,4.13,9.23,1.03,1.21,6.05,14.96
2020-11-30,Madhya Pradesh,7.86,8.72,1.5,2.29,3.02,5.06
2020-11-30,Maharashtra,6.14,6.15,3.32,4.39,2.73,3.44
2020-11-30,Manipur,5.37,6.15,0.73,3.38,10.41,12.92
2020-11-30,Meghalaya,5.4,2.75,2.9,2.23,13.88,11.38
2020-11-30,Mizoram,7.39,3.88,1.25,4.59,2.86,9.07
2020-11-30,Nagaland,2.88,9.32,4.95,3.12,3.55,10.78
2020-11-30,Odisha,5.69,2.53,3.18,3.69,12.36,6.42
2020-11-30,Punjab,2.32,1.26,2.7,4.54,10.67,2.54
2020-11-30,Rajasthan,9.42,7.21,0.53,0.56,9.79,4.26
2020-11-30,Sikkim,8.3,7.98,1.93,1.66,9.14,3.29
2020-11-30,Tamil Nadu,8.61,1.95,1.38,2.51,4.81,4.8
2020-11-30,Telangana,3.73,8.99,2.6,4.68,10.88,12.17
2020-11-30,Tripura,5.01,6.32,1.54,0.63,7.9,7.73
2020-11-30,Uttar Pradesh,7.02,4.79,2.26,3.21,8.41,14.2
2020-11-30,Uttarakhand,6.34,5.7,0.9,4.25,8.0,11.65
2020-11-30,West Bengal,8.42,5.61,2.83,4.39,6.25,7.33
2020-12-31,Andhra Pradesh,9.39,5.79,4.87,2.13,4.03,5.8
2020-12-31,Arunachal Pradesh,5.04,2.99,3.25,4.19,10.15,8.61
2020-12-31,Assam,5.17,2.74,4.49,3.73,7.45,13.12
2020-12-31,Bihar,6.8,6.47,3.8,1.37,7.49,2.12
2020-12-31,Chhattisgarh,7.17,6.9,4.64,2.15,10.91,8.67
2020-12-31,Goa,2.29,1.33,3.74,3.65,8.23,2.18
2020-12-31,Gujarat,5.77,4.81,2.54,1.68,6.04,3.21
2020-12-31,Haryana,9.87,7.83,3.0,1.02,14.55,3.52
2020-12-31,Himachal Pradesh,8.21,6.51,1.8,4.21,5.08,8.06
2020-12-31,Jharkhand,6.29,8.57,4.71,3.58,3.93,12.46
2020-12-31,Karnataka,4.14,2.98,1.74,3.0,14.58,8.43
2020-12-31,Kerala,4.65,8.24,2.64,1.88,14.71,6.18
2020-12-31,Madhya Pradesh,4.52,2.91,2.41,2.56,14.45,3.42
2020-12-31,Maharashtra,1.16,5.27,2.57,0.85,13.94,13.24
2020-12-31,Manipur,6.93,6.04,3.98,2.28,9.91,9.38
2020-12-31,Meghalaya,10.0,7.31,4.82,2.52,3.99,7.58
2020-12-31,Mizoram,4.22,5.92,3.9,2.54,11.77,5.75
2020-12-31,Nagaland,8.35,9.4,4.97,3.64,12.46,7.55
2020-12-31,Odisha,7.68,5.71,3.25,1.3,11.95,12.17
2020-12-31,Punjab,9.85,5.41,4.58,1.73,14.15,12.9
2020-12-31,Rajasthan,5.18,5.81,3.36,2.05,7.55,12.55
2020-12-31,Sikkim,5.61,6.08,4.24,2.39,11.47,7.94
2020-12-31,Tamil Nadu,2.13,3.19,4.62,2.23,7.92,3.33
2020-12-31,Telangana,3.23,6.28,4.84,1.8,4.98,2.57
2020-12-31,Tripura,9.39,5.59,2.81,4.04,11.54,13.39
2020-12-31,Uttar Pradesh,4.43,2.89,0.58,0.7,14.27,4.99
2020-12-31,Uttarakhand,7.77,8.42,1.04,2.87,14.71,9.14
2020-12-31,West Bengal,4.06,2.59,3.97,2.73,2.49,7.95
2021-01-31,Andhra Pradesh,1.35,1.96,3.29,2.97,5.76,12.19
2021-01-31,Arunachal Pradesh,8.17,7.45,1.61,2.76,6.36,9.93
2021-01-31,Assam,5.49,6.6,1.83,4.87,11.17,3.94
2021-01-31,Bihar,1.46,1.4,2.2,0.77,14.26,9.1
2021-01-31,Chhattisgarh,2.21,8.39,2.25,2.12,5.61,6.56
2021-01-31,Goa,6.94,8.87,3.48,1.27,12.12,2.3
2021-01-31,Gujarat,4.91,3.05,4.88,1.28,11.32,9.34
2021-01-31,Haryana,3.58,8.08,3.14,2.63,8.99,10.0
2021-01-31,Himachal Pradesh,5.48,4.24,1.57,2.8,8.33,9.03
2021-01-31,Jharkhand,5.57,6.29,4.71,3.8,10.79,11.01
2021-01-31,Karnataka,3.0,6.61,1.37,1.19,10.51,8.06
2021-01-31,Kerala,3.91,6.64,2.56,3.6,3.58,13.5
2021-01-31,Madhya Pradesh,8.57,9.37,0.91,4.73,6.41,2.31
2021-01-31,Maharashtra,4.23,4.96,3.91,2.35,6.81,14.46
2021-01-31,Manipur,6.63,3.12,3.39,3.52,10.01,6.24
2021-01-31,Meghalaya,9.57,9.52,0.88,4.69,2.21,5.59
2021-01-31,Mizoram,1.41,5.91,2.75,3.68,2.46,14.02
2021-01-31,Nagaland,2.19,9.67,1.32,2.71,11.53,14.46
2021-01-31,Odisha,5.89,4.81,1.82,1.0,8.71,2.92
2021-01-31,Punjab,9.3,1.45,3.4,0.82,13.03,11.94
2021-01-31,Rajasthan,7.65,5.43,2.93,2.54,13.24,2.56
2021-01-31,Sikkim,6.29,3.39,3.85,3.89,3.78,11.52
2021-01-31,Tamil Nadu,3.7,5.24,4.38,3.58,11.89,2.39
2021-01-31,Telangana,5.47,4.24,3.4,2.01,12.46,2.76
2021-01-31,Tripura,7.99,2.85,4.66,0.54,7.06,7.75
2021-01-31,Uttar Pradesh,4.26,4.72,0.58,4.98,12.29,10.1
2021-01-31,Uttarakhand,1.21,9.99,3.63,4.34,12.44,10.21
2021-01-31,West Bengal,1.33,9.34,1.2,3.56,10.16,3.59
2021-02-28,Andhra Pradesh,1.21,6.62,3.22,4.22,3.51,9.36
2021-02-28,Arunachal Pradesh,7.59,4.72,2.05,2.62,13.94,8.0
